,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,device_id,duration,ts_sort,distancias
71365,2021-07-12 11:05:49,2021-07-12 11:08:12,d2:1a:ab:74:d1:1b,-84,6,-22.816142000000003,-47.072646,-22.813717,-47.070094,122,10,,143,2021-07-12 11:05:49,0.3756701445356808
71366,2021-07-12 11:05:50,2021-07-12 11:14:14,dc:bf:e9:42:33:9f,-91,11,-22.81616,-47.072644,-22.826182,-47.067676,120,11,,504,2021-07-12 11:05:50,1.2252097497332715
71371,2021-07-12 11:06:20,2021-07-12 11:10:48,30:4b:07:ce:9a:01,-87,6,-22.816316,-47.072672999999995,-22.821109,-47.067929,144,16,,268,2021-07-12 11:06:20,0.7214282736680951
71564,2021-07-12 11:14:23,2021-07-12 11:16:24,b0:6e:bf:d5:53:33,-92,11,-22.826949,-47.067644,-22.831913,-47.062213,192,209,,121,2021-07-12 11:14:23,0.7838811311002658
74608,2021-07-12 12:53:45,2021-07-12 12:56:18,8c:f1:12:ec:a4:25,-77,11,-22.827309,-47.067479,-22.831298999999998,-47.062348,50,233,,153,2021-07-12 12:53:45,0.6880103371510752
77386,2021-07-12 14:40:01,2021-07-12 14:49:07,56:50:a4:52:6c:51,-69,1,-22.816330999999998,-47.066274,-22.829522,-47.063798,69,140,,546,2021-07-12 14:40:01,1.4885640381259375
91301,2021-07-14 07:33:59,2021-07-14 07:45:57,0e:ef:af:02:54:4a,-89,1,-22.819951,-47.067919,-22.822781,-47.068964,38,104,,718,2021-07-14 07:33:59,0.3324090652433998
91371,2021-07-14 07:37:30,2021-07-14 07:48:25,02:00:00:00:00:00,-88,11,-22.828222,-47.066594,-22.819021,-47.064521,47,174,,655,2021-07-14 07:37:30,1.0449328983190451
91519,2021-07-14 07:42:29,2021-07-14 07:53:11,fe:71:3c:4a:09:c2,-94,11,-22.826648000000002,-47.067551,-22.813447,-47.061393,197,322,,642,2021-07-14 07:42:29,1.5978208919515775
91584,2021-07-14 07:45:33,2021-07-14 07:53:21,58:d9:c3:79:9a:2e,-81,1,-22.823583,-47.068344,-22.813323,-47.062184,203,387,,468,2021-07-14 07:45:33,1.3039074690937726
94342,2021-07-14 11:03:50,2021-07-14 11:11:37,50:92:b9:02:a0:5c,-86,11,-22.816097,-47.072577,-22.824463,-47.064906,168,2,,467,2021-07-14 11:03:50,1.217993619352694
94357,2021-07-14 11:04:15,2021-07-14 11:15:59,50:92:b9:6d:df:78,-93,1,-22.816326999999998,-47.072509000000004,-22.8298,-47.061928,195,17,,704,2021-07-14 11:04:15,1.8494339256291519
94365,2021-07-14 11:05:30,2021-07-14 11:16:50,dc:bf:e9:42:33:9f,-62,9,-22.81632,-47.072629,-22.829501999999998,-47.064771,163,25,,680,2021-07-14 11:05:30,1.6724531897596941
94447,2021-07-14 11:09:58,2021-07-14 11:19:35,c6:5c:22:fa:02:90,-90,1,-22.821272,-47.067676,-22.825139,-47.066913,35,106,,577,2021-07-14 11:09:58,0.4370442831364225
95174,2021-07-14 11:19:17,2021-07-14 11:20:41,cc:c3:ea:cc:a1:c5,-88,11,-22.825283,-47.066347,-22.82212,-47.069403,176,307,,84,2021-07-14 11:19:17,0.4709541730402077
97002,2021-07-14 13:03:06,2021-07-14 13:07:40,88:b1:e1:28:8f:61,-85,6,-22.813692,-47.060575,-22.815892,-47.062540000000006,31,405,,274,2021-07-14 13:03:06,0.31687045060559044
97883,2021-07-14 13:40:38,2021-07-14 13:42:51,a8:16:d0:3b:93:7b,-92,1,-22.824939999999998,-47.065690000000004,-22.828739000000002,-47.066146999999994,38,136,,133,2021-07-14 13:40:38,0.4250186318579411
97889,2021-07-14 13:40:42,2021-07-14 13:43:13,ea:8f:ef:bb:ea:f3,-93,6,-22.824945,-47.065694,-22.830532,-47.064414,75,142,,151,2021-07-14 13:40:42,0.6349459736613693
97942,2021-07-14 13:41:28,2021-07-14 13:45:55,76:e0:03:05:1d:97,-90,7,-22.825707,-47.06697,-22.828856,-47.065905,59,195,,267,2021-07-14 13:41:28,0.36677044964723077
99128,2021-07-14 14:40:14,2021-07-14 14:50:58,92:2b:a0:61:10:b1,-91,1,-22.823857,-47.065197999999995,-22.820591,-47.066356,53,187,,644,2021-07-14 14:40:14,0.38206438490031097
99220,2021-07-14 14:42:54,2021-07-14 14:46:04,80:35:c1:07:d1:91,-89,6,-22.831453,-47.063297999999996,-22.827753,-47.066944,44,279,,190,2021-07-14 14:42:54,0.5557771191074091
103894,2021-07-15 07:44:49,2021-07-15 07:50:55,58:d9:c3:79:9a:2e,-84,1,-22.823486,-47.068465,-22.813628,-47.060311,100,266,,366,2021-07-15 07:44:49,1.378407063707119
106220,2021-07-15 11:03:25,2021-07-15 11:13:04,c8:c7:50:38:c0:72,-93,1,-22.816076000000002,-47.072565000000004,-22.828615,-47.066277,249,25,,579,2021-07-15 11:03:25,1.536009999377389
106235,2021-07-15 11:05:38,2021-07-15 11:11:12,30:4b:07:ce:9a:01,-66,7,-22.816347,-47.072635,-22.824406,-47.064849,141,40,,334,2021-07-15 11:05:38,1.1999303933171999
106239,2021-07-15 11:05:49,2021-07-15 11:13:33,dc:bf:e9:42:33:9f,-79,1,-22.816322,-47.072635,-22.828751,-47.066158,212,44,,464,2021-07-15 11:05:49,1.5332022849742886
106433,2021-07-15 11:13:15,2021-07-15 11:27:52,1c:bf:ce:10:79:63,-89,1,-22.828746,-47.066181,-22.813810999999998,-47.063303999999995,32,238,,877,2021-07-15 11:13:15,1.686672844718203
106441,2021-07-15 11:13:33,2021-07-15 11:14:49,04:d9:f5:49:e9:53,-92,11,-22.828751,-47.066158,-22.831622,-47.062222999999996,58,246,,76,2021-07-15 11:13:33,0.5143393813856656
106478,2021-07-15 11:15:20,2021-07-15 11:17:12,d0:c5:f3:28:03:29,-86,6,-22.830591000000002,-47.062143,-22.827975,-47.066746,33,283,,112,2021-07-15 11:15:20,0.5542114561473035
109871,2021-07-15 13:06:25,2021-07-15 13:09:22,58:d9:c3:c6:e9:48,-94,1,-22.813831,-47.059895000000004,-22.812778,-47.065523,42,446,,177,2021-07-15 13:06:25,0.5886143632014814
110923,2021-07-15 13:42:21,2021-07-15 13:46:15,c6:d1:38:f5:ff:0c,-84,1,-22.825281,-47.066334999999995,-22.829355,-47.065112,240,138,,234,2021-07-15 13:42:21,0.47002890544641923
110940,2021-07-15 13:42:39,2021-07-15 13:44:06,c6:03:c9:56:af:f1,-88,11,-22.825656,-47.066722999999996,-22.830992000000002,-47.063974,94,155,,87,2021-07-15 13:42:39,0.6568270364366852
111140,2021-07-15 13:54:12,2021-07-15 13:59:21,88:b1:e1:26:ea:41,-89,6,-22.813861,-47.059807,-22.815864,-47.062543,30,355,,309,2021-07-15 13:54:12,0.358113813164822
111171,2021-07-15 13:57:28,2021-07-15 14:00:15,68:7d:6b:52:05:25,-58,2,-22.812932,-47.064606,-22.818026,-47.063724,47,386,,167,2021-07-15 13:57:28,0.5735962431889322
112095,2021-07-15 14:37:56,2021-07-15 14:49:01,fc:aa:b6:ca:d7:a1,-95,11,-22.823938000000002,-47.065144000000004,-22.817943,-47.063807000000004,67,201,,665,2021-07-15 14:37:56,0.6805528699581553
112113,2021-07-15 14:38:26,2021-07-15 14:41:13,30:fc:eb:87:dc:7d,-93,1,-22.824907,-47.065525,-22.831948999999998,-47.062243,89,219,,167,2021-07-15 14:38:26,0.8522210747711856
112120,2021-07-15 14:38:31,2021-07-15 14:41:21,7e:b7:1d:0e:5d:02,-94,1,-22.824964,-47.065692,-22.831609,-47.062231,36,226,,170,2021-07-15 14:38:31,0.8196180559125813
113531,2021-07-15 15:30:45,2021-07-15 15:40:24,e6:c3:2a:05:4d:eb,-96,1,-22.816991,-47.066227000000005,-22.825826,-47.066686,140,27,,579,2021-07-15 15:30:45,0.9835342322862312
113581,2021-07-15 15:33:12,2021-07-15 15:41:13,ca:ad:da:10:2d:07,-89,1,-22.822281,-47.06628,-22.824997,-47.065709000000005,46,77,,481,2021-07-15 15:33:12,0.3076235522195555
113647,2021-07-15 15:35:29,2021-07-15 15:36:40,76:de:91:76:f5:75,-95,11,-22.827353,-47.067439,-22.831489,-47.063227000000005,122,143,,71,2021-07-15 15:35:29,0.6307496212358856
120016,2021-07-16 08:27:15,2021-07-16 08:34:13,9e:e7:02:a2:e9:5e,-69,6,-22.827731,-47.067085999999996,-22.822356,-47.069375,44,269,,418,2021-07-16 08:27:15,0.642065648804151
121544,2021-07-16 11:04:40,2021-07-16 11:13:17,50:92:b9:6d:df:78,-49,11,-22.815755,-47.072633,-22.830849,-47.064101,128,3,,517,2021-07-16 11:04:40,1.8925101849478632
121545,2021-07-16 11:04:37,2021-07-16 11:10:10,30:4b:07:ce:9a:01,-59,11,-22.815973,-47.072649,-22.824517,-47.064861,220,2,,333,2021-07-16 11:04:37,1.2408564425963746
121582,2021-07-16 11:06:52,2021-07-16 11:12:46,dc:bf:e9:42:33:9f,-74,6,-22.81718,-47.06617,-22.828764000000003,-47.066159000000006,208,40,,354,2021-07-16 11:06:52,1.2880843027910704
121730,2021-07-16 11:11:46,2021-07-16 11:20:12,e0:1f:88:ac:c2:62,-90,11,-22.826882,-47.067644,-22.822864000000003,-47.068951,59,188,,506,2021-07-16 11:11:46,0.46643013490457397
123144,2021-07-16 11:57:01,2021-07-16 12:08:25,28:83:35:c1:05:b3,-91,6,-22.814269,-47.071645000000004,-22.825024,-47.065846,33,12,,684,2021-07-16 11:57:01,1.3354536712920644
123225,2021-07-16 12:01:23,2021-07-16 12:11:28,40:06:a0:5b:8c:b2,-93,11,-22.824379,-47.064849,-22.819339000000003,-47.06476,32,93,,605,2021-07-16 12:01:23,0.5604974327312454
