,device_id,timestampI,timestampF,MAC,RSSI,channel,latitudeI,longitudeI,latitudeF,longitudeF,cnt_pckg,id,duration,ts_sort,distancias
74980,,2021-06-10 16:13:12,2021-06-10 16:19:27,50:3d:c6:7c:89:98,-95,11,-22.824811999999998,-47.065475,-22.828160999999998,-47.066621000000005,38,125,375,2021-06-10 16:13:12,0.3904747020639456
75005,,2021-06-10 16:13:38,2021-06-10 16:19:22,38:80:df:38:95:08,-87,11,-22.825053,-47.06584,-22.828389,-47.066403,69,150,344,2021-06-10 16:13:38,0.37540751229302005
75087,,2021-06-10 16:17:06,2021-06-10 16:19:32,ba:20:e6:29:5d:7b,-89,11,-22.830026,-47.062032,-22.827922,-47.066860999999996,42,232,146,2021-06-10 16:17:06,0.5474121043119503
75108,,2021-06-10 16:18:28,2021-06-10 16:21:37,9a:6a:02:5f:59:11,-62,1,-22.829526,-47.063825,-22.82525,-47.066272,106,253,189,2021-06-10 16:18:28,0.5375538643057901
75481,,2021-06-10 17:01:37,2021-06-10 17:03:41,1c:cc:d6:1e:0e:7c,-84,1,-22.825645,-47.066756,-22.831937,-47.062309,196,106,124,2021-06-10 17:01:37,0.8349874640266935
76388,,2021-06-10 18:33:36,2021-06-10 18:38:34,22:f0:ff:1c:b0:8a,-94,6,-22.824555,-47.064863,-22.829389000000003,-47.064997,71,74,298,2021-06-10 18:33:36,0.5376924255227968
78892,,2021-06-11 08:21:47,2021-06-11 08:23:22,02:25:6a:00:f5:5f,-46,11,-22.815783,-47.072683000000005,-22.814869,-47.067066,137,4,95,2021-06-11 08:21:47,0.5846169445127889
79123,,2021-06-11 08:33:33,2021-06-11 08:43:03,64:c2:de:3e:6f:0d,-94,5,-22.825151,-47.065290000000005,-22.81312,-47.063502,52,235,570,2021-06-11 08:33:33,1.350281294570344
81741,,2021-06-11 11:03:19,2021-06-11 11:11:29,bc:98:df:ea:8a:05,-90,1,-22.815987,-47.072644,-22.824458,-47.064865999999995,39,15,490,2021-06-11 11:03:19,1.233990316031294
81744,,2021-06-11 11:04:08,2021-06-11 11:11:32,60:af:6d:00:58:c0,-81,1,-22.816172,-47.072559000000005,-22.824517999999998,-47.064847,89,18,444,2021-06-11 11:04:08,1.2190161653658018
81755,,2021-06-11 11:05:04,2021-06-11 11:17:16,70:fd:46:8a:27:62,-67,1,-22.816326999999998,-47.072685,-22.829498,-47.063834,182,29,732,2021-06-11 11:05:04,1.7227302469650687
81757,,2021-06-11 11:05:13,2021-06-11 11:12:36,f0:d7:aa:1c:9f:12,-66,6,-22.816323,-47.072687,-22.825388,-47.066457,220,31,443,2021-06-11 11:05:13,1.1932043453782268
81761,,2021-06-11 11:05:43,2021-06-11 11:12:12,a8:96:75:4c:66:9b,-64,11,-22.816317,-47.0727,-22.824988,-47.065711,140,35,389,2021-06-11 11:05:43,1.2011366346280448
81945,,2021-06-11 11:13:18,2021-06-11 11:17:35,98:39:8e:a2:81:55,-92,11,-22.827579,-47.06722,-22.829473999999998,-47.064572,105,234,257,2021-06-11 11:13:18,0.34358141874160825
81958,,2021-06-11 11:13:32,2021-06-11 11:20:16,90:78:b2:5c:85:ff,-94,1,-22.828429,-47.066427000000004,-22.825294,-47.066342,60,247,404,2021-06-11 11:13:32,0.3487054068052547
95036,,2021-06-14 11:06:37,2021-06-14 11:10:21,48:49:c7:19:22:fa,-51,6,-22.815998999999998,-47.072659,-22.820531,-47.068224,129,0,224,2021-06-14 11:06:37,0.6786551305699717
95061,,2021-06-14 11:07:37,2021-06-14 11:13:31,30:fc:eb:89:46:e4,-93,6,-22.813879,-47.07066,-22.825082000000002,-47.065952,93,25,354,2021-06-14 11:07:37,1.335908661864319
95142,,2021-06-14 11:10:32,2021-06-14 11:13:00,c6:5c:22:fa:02:90,-48,1,-22.820711,-47.068155,-22.824867,-47.065498999999996,162,106,148,2021-06-14 11:10:32,0.5363399766764246
96383,,2021-06-14 12:01:31,2021-06-14 12:15:22,8c:f1:12:c5:51:50,-87,1,-22.825113,-47.065915999999994,-22.814187,-47.05877,180,103,831,2021-06-14 12:01:31,1.4186064285118323
99452,,2021-06-14 14:35:14,2021-06-14 14:40:28,48:51:69:6d:e1:ea,-91,1,-22.824846,-47.065482,-22.828708,-47.066012,37,231,314,2021-06-14 14:35:14,0.43285700967396995
99466,,2021-06-14 14:35:28,2021-06-14 14:40:35,98:b8:ba:9a:0b:26,-91,1,-22.82491,-47.065553,-22.828560999999997,-47.066145,173,245,307,2021-06-14 14:35:28,0.41048186874986264
99613,,2021-06-14 14:40:58,2021-06-14 14:43:15,86:85:57:97:ea:d6,-93,11,-22.827492000000003,-47.067226,-22.823552,-47.068439,59,392,137,2021-06-14 14:40:58,0.4554052510510911
100715,,2021-06-14 15:25:15,2021-06-14 15:27:06,22:ed:ae:25:8d:80,-90,1,-22.825912,-47.067453,-22.831753,-47.062211,71,148,111,2021-06-14 15:25:15,0.842881815605549
102391,,2021-06-14 17:01:59,2021-06-14 17:09:20,a8:16:d0:31:7a:7d,-86,1,-22.820158,-47.068271,-22.829434,-47.064932,92,162,441,2021-06-14 17:01:59,1.0867317304639688
105751,,2021-06-15 07:41:36,2021-06-15 07:47:00,f0:d7:aa:05:66:18,-81,1,-22.829525,-47.063641,-22.82125,-47.067477000000004,253,233,324,2021-06-15 07:41:36,1.0006083725509674
107139,,2021-06-15 08:33:16,2021-06-15 08:34:38,50:92:b9:02:b9:28,-93,11,-22.825269,-47.066445,-22.822235,-47.069449,53,274,82,2021-06-15 08:33:16,0.4567313620451951
110304,,2021-06-15 12:52:18,2021-06-15 12:56:27,40:06:a0:5b:8c:b2,-91,11,-22.824828,-47.06542,-22.829701999999997,-47.061864,48,155,249,2021-06-15 12:52:18,0.6531025008987055
